epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,143.188,1.48433,0.86516,1.14964,0.62037,0.61374,0.57988,0.26858,1.83161,1.02211,1.35194,0.00117435,0.00117435,0.00117435
56,145.83,1.44593,0.82592,1.1248,0.56918,0.59099,0.5667,0.26333,1.8762,1.03504,1.37149,0.00116964,0.00116964,0.00116964
57,148.422,1.45747,0.84512,1.13116,0.60057,0.62108,0.58307,0.27493,1.85249,1.00906,1.36232,0.00116492,0.00116492,0.00116492
58,151.062,1.44256,0.82688,1.12014,0.62376,0.6446,0.605,0.28482,1.87488,0.98958,1.36895,0.00116021,0.00116021,0.00116021
59,153.645,1.43182,0.84259,1.14152,0.69802,0.62903,0.6084,0.28859,1.87868,0.97448,1.36162,0.00115549,0.00115549,0.00115549
60,156.136,1.4448,0.8354,1.13108,0.59849,0.65723,0.57463,0.26603,1.86931,1.00691,1.34806,0.00115077,0.00115077,0.00115077
61,158.711,1.40759,0.81727,1.09659,0.58592,0.64324,0.56358,0.26111,1.857,1.04606,1.35428,0.00114606,0.00114606,0.00114606
62,161.435,1.40711,0.82083,1.11232,0.60447,0.63777,0.58248,0.26896,1.88246,1.05368,1.36488,0.00114134,0.00114134,0.00114134
63,163.985,1.41177,0.82356,1.14499,0.66072,0.68395,0.61747,0.29387,1.8678,0.9904,1.3715,0.00113663,0.00113663,0.00113663
64,166.695,1.41822,0.80694,1.1207,0.68529,0.68784,0.61904,0.2914,1.86619,0.97501,1.38158,0.00113191,0.00113191,0.00113191
65,169.417,1.42509,0.81231,1.14062,0.75814,0.63761,0.61986,0.29208,1.8562,0.96176,1.37891,0.0011272,0.0011272,0.0011272
66,172.051,1.42769,0.83848,1.14423,0.72802,0.6755,0.60737,0.29224,1.83974,0.94549,1.37019,0.00112248,0.00112248,0.00112248
67,174.807,1.41975,0.81484,1.14051,0.65378,0.66127,0.59454,0.28465,1.86854,0.96434,1.38095,0.00111776,0.00111776,0.00111776
68,177.403,1.41384,0.82149,1.12037,0.64522,0.6564,0.59442,0.29016,1.846,0.97501,1.38306,0.00111305,0.00111305,0.00111305
69,179.904,1.43124,0.82394,1.12498,0.66038,0.64292,0.5851,0.27915,1.84057,0.98257,1.37742,0.00110833,0.00110833,0.00110833
70,182.609,1.41397,0.8025,1.12127,0.67994,0.65615,0.60474,0.28903,1.82747,0.97673,1.3627,0.00110362,0.00110362,0.00110362
71,185.36,1.42255,0.82277,1.12632,0.67634,0.65828,0.61788,0.29778,1.81113,0.95532,1.3584,0.0010989,0.0010989,0.0010989
72,188.075,1.4111,0.81155,1.13295,0.72124,0.65751,0.62155,0.29371,1.80435,0.94086,1.35832,0.00109419,0.00109419,0.00109419
73,190.782,1.36821,0.79044,1.12373,0.65682,0.63844,0.60298,0.28362,1.81986,0.93526,1.36894,0.00108947,0.00108947,0.00108947
74,193.343,1.3646,0.7897,1.10025,0.68642,0.63837,0.60081,0.27977,1.88942,0.99062,1.37264,0.00108475,0.00108475,0.00108475
75,195.783,1.35501,0.79091,1.09777,0.64985,0.63096,0.60183,0.28596,1.82147,0.93315,1.35631,0.00108004,0.00108004,0.00108004
76,198.237,1.39472,0.7907,1.10495,0.63545,0.67004,0.5938,0.28246,1.80399,0.91937,1.36253,0.00107532,0.00107532,0.00107532
77,200.713,1.34546,0.771,1.09229,0.7311,0.63307,0.61396,0.28294,1.82951,0.92769,1.36863,0.00107061,0.00107061,0.00107061
78,203.54,1.34194,0.79536,1.10553,0.68289,0.65425,0.61249,0.28757,1.8492,0.95411,1.37413,0.00106589,0.00106589,0.00106589
