epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,161.607,1.0132,0.59929,1.05963,0.97592,0.96666,0.98762,0.65375,1.26688,0.5755,1.2305,0.00136444,0.00136444,0.00136444
57,164.425,1.01015,0.61435,1.06855,0.95853,0.98829,0.99246,0.67677,1.22808,0.58826,1.18887,0.00135894,0.00135894,0.00135894
58,167.222,0.98629,0.60191,1.05318,0.94759,0.99235,0.99149,0.66756,1.26496,0.61299,1.20206,0.00135344,0.00135344,0.00135344
59,170.016,0.97022,0.58691,1.05322,0.96873,0.99235,0.99298,0.65773,1.27059,0.59915,1.20838,0.00134794,0.00134794,0.00134794
60,172.807,1.01055,0.58406,1.06311,0.95981,0.98124,0.99184,0.64699,1.29934,0.58044,1.21587,0.00134244,0.00134244,0.00134244
61,175.63,0.98266,0.57484,1.0458,0.94064,0.9949,0.99236,0.65904,1.25414,0.56533,1.19207,0.00133693,0.00133693,0.00133693
62,178.425,0.98807,0.58398,1.03937,0.95101,0.99134,0.99242,0.66857,1.23253,0.56589,1.19321,0.00133143,0.00133143,0.00133143
63,181.231,0.99929,0.57633,1.05398,0.94271,0.98559,0.99168,0.66537,1.24495,0.54801,1.1934,0.00132593,0.00132593,0.00132593
64,184.052,0.98664,0.58143,1.04002,0.95014,0.98634,0.99079,0.67242,1.23205,0.54818,1.19595,0.00132043,0.00132043,0.00132043
65,186.861,1.00688,0.5842,1.05779,0.97698,0.97268,0.99176,0.67205,1.27007,0.56895,1.20899,0.00131493,0.00131493,0.00131493
66,189.666,0.99539,0.5807,1.04897,0.98157,0.99686,0.99365,0.67603,1.25752,0.55563,1.20991,0.00130943,0.00130943,0.00130943
67,192.435,0.99346,0.5764,1.02552,0.98114,0.988,0.99365,0.67402,1.24043,0.53586,1.21406,0.00130393,0.00130393,0.00130393
68,195.278,0.98972,0.57791,1.05162,0.9854,0.9898,0.99042,0.65915,1.34676,0.57328,1.25209,0.00129843,0.00129843,0.00129843
69,198.075,0.97188,0.56166,1.0394,0.98584,0.99227,0.99327,0.66303,1.3368,0.56096,1.25339,0.00129293,0.00129293,0.00129293
70,200.878,0.98885,0.57745,1.05605,0.98345,0.9949,0.99345,0.68226,1.21625,0.52152,1.19714,0.00128742,0.00128742,0.00128742
71,203.716,1.00685,0.57498,1.04717,0.98455,0.99075,0.99373,0.66526,1.23698,0.51928,1.19226,0.00128192,0.00128192,0.00128192
72,206.451,0.96494,0.55686,1.05856,0.97355,0.98202,0.99438,0.66236,1.25667,0.5323,1.20738,0.00127642,0.00127642,0.00127642
73,209.224,0.97256,0.56141,1.04533,0.97005,0.97119,0.99089,0.65362,1.29291,0.54173,1.23096,0.00127092,0.00127092,0.00127092
74,211.985,0.96897,0.57592,1.0332,0.95127,0.97523,0.98976,0.64865,1.329,0.5592,1.25816,0.00126542,0.00126542,0.00126542
75,214.77,0.97546,0.57418,1.03072,0.97136,0.92781,0.98674,0.64097,1.31721,0.56908,1.25599,0.00125992,0.00125992,0.00125992
76,217.635,0.96161,0.5406,1.04083,0.99477,0.92386,0.98633,0.64518,1.25159,0.55328,1.22253,0.00125442,0.00125442,0.00125442
77,220.42,0.95697,0.5549,1.05303,0.98032,0.9377,0.98554,0.65521,1.23034,0.54404,1.21243,0.00124892,0.00124892,0.00124892
78,223.207,0.9632,0.55831,1.03984,0.9803,0.93904,0.98211,0.66079,1.21723,0.56986,1.19975,0.00124342,0.00124342,0.00124342
79,226.127,0.97276,0.56437,1.0498,0.97318,0.94464,0.98924,0.65214,1.2634,0.563,1.23807,0.00123791,0.00123791,0.00123791
80,228.963,0.96772,0.56544,1.06165,0.97771,0.95229,0.98632,0.65725,1.24486,0.57348,1.22512,0.00123241,0.00123241,0.00123241
81,231.797,0.95532,0.54891,1.03585,0.97811,0.95376,0.97865,0.65666,1.24187,0.55834,1.21707,0.00122691,0.00122691,0.00122691
82,234.655,0.94715,0.54531,1.04033,0.97926,0.94339,0.98605,0.66991,1.23379,0.54634,1.21542,0.00122141,0.00122141,0.00122141
83,237.432,0.99095,0.56635,1.07059,0.98218,0.95232,0.9886,0.66602,1.24407,0.55645,1.21585,0.00121591,0.00121591,0.00121591
84,240.238,0.96807,0.54857,1.05472,0.96046,0.95237,0.98166,0.65535,1.29816,0.57086,1.23593,0.00121041,0.00121041,0.00121041
85,243.025,0.95906,0.5378,1.02558,0.94751,0.95905,0.97854,0.65364,1.27524,0.57617,1.22423,0.00120491,0.00120491,0.00120491
86,245.86,0.97941,0.54917,1.06436,0.96765,0.95851,0.98353,0.64888,1.2943,0.5884,1.21971,0.00119941,0.00119941,0.00119941
87,248.698,0.95935,0.53682,1.04091,0.94554,0.94881,0.98403,0.66493,1.27312,0.57562,1.22866,0.00119391,0.00119391,0.00119391
88,251.503,0.92561,0.54117,1.01931,0.93126,0.95756,0.98431,0.66868,1.25849,0.57503,1.235,0.0011884,0.0011884,0.0011884
89,254.361,0.92026,0.53473,1.0207,0.94908,0.95776,0.98408,0.66008,1.23032,0.5493,1.21606,0.0011829,0.0011829,0.0011829
90,257.172,0.9506,0.54134,1.03669,0.94422,0.95728,0.97891,0.64821,1.25235,0.54707,1.24031,0.0011774,0.0011774,0.0011774
91,259.971,0.93678,0.52789,1.0238,0.91687,0.97772,0.98254,0.64496,1.27658,0.54091,1.25122,0.0011719,0.0011719,0.0011719
92,262.786,0.91531,0.52807,1.02593,0.91708,0.97998,0.98701,0.65366,1.25596,0.54505,1.21816,0.0011664,0.0011664,0.0011664
93,265.679,0.91157,0.51445,1.02562,0.96787,0.94788,0.98909,0.65167,1.26264,0.53229,1.23185,0.0011609,0.0011609,0.0011609
94,268.537,0.906,0.51483,1.02426,0.95871,0.97012,0.98986,0.66497,1.23275,0.53245,1.2259,0.0011554,0.0011554,0.0011554
95,271.357,0.94198,0.53042,1.03171,0.96336,0.96103,0.99009,0.66642,1.23699,0.54083,1.22101,0.0011499,0.0011499,0.0011499
96,274.189,0.92185,0.52231,1.01225,0.97264,0.95411,0.98986,0.65317,1.25618,0.55012,1.23285,0.0011444,0.0011444,0.0011444
97,276.989,0.9197,0.51448,1.03922,0.93576,0.98724,0.98615,0.64439,1.29071,0.567,1.25219,0.00113889,0.00113889,0.00113889
98,279.772,0.9362,0.52826,1.02332,0.99334,0.92149,0.9847,0.64905,1.30335,0.56735,1.2642,0.00113339,0.00113339,0.00113339
